0.000 INFO  /explore_debug_logger: explore_debug_logger: writing /home/abhijit/catkin_ws/src/team2_delivery/explore_debug.log
354.584 INFO  /move_base: Got new plan
354.752 WARN  /move_base: DWA planner failed to produce path.
354.834 INFO  /move_base: Got new plan
355.834 INFO  /move_base: Got new plan
356.834 INFO  /move_base: Got new plan
357.584 INFO  /move_base: Got new plan
358.585 INFO  /move_base: Got new plan
359.584 INFO  /move_base: Got new plan
360.585 INFO  /move_base: Got new plan
361.584 INFO  /move_base: Got new plan
362.584 INFO  /move_base: Got new plan
363.584 INFO  /move_base: Got new plan
364.584 INFO  /move_base: Got new plan
365.584 INFO  /move_base: Got new plan
366.584 INFO  /move_base: Got new plan
367.584 INFO  /move_base: Got new plan
368.584 INFO  /move_base: Got new plan
369.585 INFO  /move_base: Got new plan
370.584 INFO  /move_base: Got new plan
371.584 INFO  /move_base: Got new plan
372.586 INFO  /move_base: Got new plan
373.585 INFO  /move_base: Got new plan
374.585 INFO  /move_base: Got new plan
375.585 INFO  /move_base: Got new plan
376.584 INFO  /move_base: Got new plan
377.584 INFO  /move_base: Got new plan
378.584 INFO  /move_base: Got new plan
379.584 INFO  /move_base: Got new plan
380.584 INFO  /move_base: Got new plan
381.585 INFO  /move_base: Got new plan
382.584 INFO  /move_base: Got new plan
383.584 INFO  /move_base: Got new plan
384.585 INFO  /move_base: Got new plan
385.584 INFO  /move_base: Got new plan
386.584 INFO  /move_base: Got new plan
387.584 INFO  /move_base: Got new plan
388.584 INFO  /move_base: Got new plan
389.585 INFO  /move_base: Got new plan
390.585 INFO  /move_base: Got new plan
391.585 INFO  /move_base: Got new plan
392.584 INFO  /move_base: Got new plan
393.585 INFO  /move_base: Got new plan
394.585 INFO  /move_base: Got new plan
395.584 INFO  /move_base: Got new plan
396.585 INFO  /move_base: Got new plan
397.584 INFO  /move_base: Got new plan
398.586 INFO  /move_base: Got new plan
399.586 INFO  /move_base: Got new plan
400.585 INFO  /move_base: Got new plan
401.584 INFO  /move_base: Got new plan
402.584 INFO  /move_base: Got new plan
403.584 INFO  /move_base: Got new plan
404.584 INFO  /move_base: Got new plan
405.584 INFO  /move_base: Got new plan
406.585 INFO  /move_base: Got new plan
407.584 INFO  /move_base: Got new plan
408.584 INFO  /move_base: Got new plan
409.584 INFO  /move_base: Got new plan
410.584 INFO  /move_base: Got new plan
411.584 INFO  /move_base: Got new plan
412.584 INFO  /move_base: Got new plan
413.584 INFO  /move_base: Got new plan
414.584 INFO  /move_base: Got new plan
415.584 INFO  /move_base: Got new plan
416.585 INFO  /move_base: Got new plan
417.584 INFO  /move_base: Got new plan
418.584 INFO  /move_base: Got new plan
419.584 INFO  /move_base: Got new plan
420.585 INFO  /move_base: Got new plan
421.584 INFO  /move_base: Got new plan
422.585 INFO  /move_base: Got new plan
423.584 INFO  /move_base: Got new plan
424.585 INFO  /move_base: Got new plan
425.584 INFO  /move_base: Got new plan
426.584 INFO  /move_base: Got new plan
427.584 INFO  /move_base: Got new plan
428.584 INFO  /move_base: Got new plan
429.585 INFO  /move_base: Got new plan
430.584 INFO  /move_base: Got new plan
431.585 INFO  /move_base: Got new plan
432.585 INFO  /move_base: Got new plan
433.585 INFO  /move_base: Got new plan
434.584 INFO  /move_base: Got new plan
435.587 INFO  /move_base: Got new plan
436.584 INFO  /move_base: Got new plan
437.584 INFO  /move_base: Got new plan
438.584 INFO  /move_base: Got new plan
439.584 INFO  /move_base: Got new plan
440.584 INFO  /move_base: Got new plan
441.584 INFO  /move_base: Got new plan
442.584 INFO  /move_base: Got new plan
443.584 INFO  /move_base: Got new plan
444.585 INFO  /move_base: Got new plan
445.584 INFO  /move_base: Got new plan
446.584 INFO  /move_base: Got new plan
447.584 INFO  /move_base: Got new plan
448.502 INFO  /move_base: Got new plan
449.584 INFO  /move_base: Got new plan
450.584 INFO  /move_base: Got new plan
451.585 INFO  /move_base: Got new plan
452.584 INFO  /move_base: Got new plan
453.584 INFO  /move_base: Got new plan
454.584 INFO  /move_base: Got new plan
455.584 INFO  /move_base: Got new plan
456.584 INFO  /move_base: Got new plan
457.584 INFO  /move_base: Got new plan
458.585 INFO  /move_base: Got new plan
459.585 INFO  /move_base: Got new plan
460.584 INFO  /move_base: Got new plan
461.585 INFO  /move_base: Got new plan
462.585 INFO  /move_base: Got new plan
463.584 INFO  /move_base: Got new plan
464.584 INFO  /move_base: Got new plan
465.585 INFO  /move_base: Got new plan
466.584 INFO  /move_base: Got new plan
467.585 INFO  /move_base: Got new plan
468.584 INFO  /move_base: Got new plan
469.584 INFO  /move_base: Got new plan
470.584 INFO  /move_base: Got new plan
471.584 INFO  /move_base: Got new plan
472.584 INFO  /move_base: Got new plan
473.584 INFO  /move_base: Got new plan
474.584 INFO  /move_base: Got new plan
475.584 INFO  /move_base: Got new plan
476.584 INFO  /move_base: Got new plan
477.584 INFO  /move_base: Got new plan
478.584 INFO  /move_base: Got new plan
479.584 INFO  /move_base: Got new plan
480.584 INFO  /move_base: Got new plan
481.585 INFO  /move_base: Got new plan
482.584 INFO  /move_base: Got new plan
483.585 INFO  /move_base: Got new plan
484.584 INFO  /move_base: Got new plan
485.501 INFO  /move_base: Got new plan
486.584 INFO  /move_base: Got new plan
487.584 INFO  /move_base: Got new plan
488.584 INFO  /move_base: Got new plan
489.584 INFO  /move_base: Got new plan
490.584 INFO  /move_base: Got new plan
491.584 INFO  /move_base: Got new plan
492.584 INFO  /move_base: Got new plan
493.584 INFO  /move_base: Got new plan
494.584 INFO  /move_base: Got new plan
495.584 INFO  /move_base: Got new plan
496.584 INFO  /move_base: Got new plan
497.502 INFO  /move_base: Got new plan
497.584 INFO  /move_base: Got new plan
498.584 INFO  /move_base: Got new plan
499.584 INFO  /move_base: Got new plan
500.584 INFO  /move_base: Got new plan
501.584 INFO  /move_base: Got new plan
502.585 INFO  /move_base: Got new plan
503.584 INFO  /move_base: Got new plan
504.584 INFO  /move_base: Got new plan
505.584 INFO  /move_base: Got new plan
506.584 INFO  /move_base: Got new plan
507.584 INFO  /move_base: Got new plan
508.584 INFO  /move_base: Got new plan
509.584 INFO  /move_base: Got new plan
510.584 INFO  /move_base: Got new plan
511.584 INFO  /move_base: Got new plan
512.584 INFO  /move_base: Got new plan
513.584 INFO  /move_base: Got new plan
514.502 INFO  /move_base: Got new plan
515.584 INFO  /move_base: Got new plan
516.585 INFO  /move_base: Got new plan
517.584 INFO  /move_base: Got new plan
518.584 INFO  /move_base: Got new plan
519.584 INFO  /move_base: Got new plan
520.584 INFO  /move_base: Got new plan
521.584 INFO  /move_base: Got new plan
522.585 INFO  /move_base: Got new plan
523.585 INFO  /move_base: Got new plan
524.585 INFO  /move_base: Got new plan
525.584 INFO  /move_base: Got new plan
526.584 INFO  /move_base: Got new plan
527.584 INFO  /move_base: Got new plan
528.584 INFO  /move_base: Got new plan
529.584 INFO  /move_base: Got new plan
530.585 INFO  /move_base: Got new plan
531.585 INFO  /move_base: Got new plan
532.585 INFO  /move_base: Got new plan
533.585 INFO  /move_base: Got new plan
534.585 INFO  /move_base: Got new plan
535.584 INFO  /move_base: Got new plan
536.584 INFO  /move_base: Got new plan
537.585 INFO  /move_base: Got new plan
538.584 INFO  /move_base: Got new plan
539.584 INFO  /move_base: Got new plan
540.584 INFO  /move_base: Got new plan
541.584 INFO  /move_base: Got new plan
542.584 INFO  /move_base: Got new plan
543.587 INFO  /move_base: Got new plan
544.585 INFO  /move_base: Got new plan
545.584 INFO  /move_base: Got new plan
546.585 INFO  /move_base: Got new plan
547.584 INFO  /move_base: Got new plan
548.584 INFO  /move_base: Got new plan
549.585 INFO  /move_base: Got new plan
550.584 INFO  /move_base: Got new plan
551.587 INFO  /move_base: Got new plan
552.584 INFO  /move_base: Got new plan
553.584 INFO  /move_base: Got new plan
554.584 INFO  /move_base: Got new plan
555.584 INFO  /move_base: Got new plan
556.584 INFO  /move_base: Got new plan
557.584 INFO  /move_base: Got new plan
558.585 INFO  /move_base: Got new plan
559.585 INFO  /move_base: Got new plan
560.584 INFO  /move_base: Got new plan
561.584 INFO  /move_base: Got new plan
562.585 INFO  /move_base: Got new plan
563.585 INFO  /move_base: Got new plan
564.584 INFO  /move_base: Got new plan
565.584 INFO  /move_base: Got new plan
566.584 INFO  /move_base: Got new plan
567.584 INFO  /move_base: Got new plan
568.584 INFO  /move_base: Got new plan
569.584 INFO  /move_base: Got new plan
570.584 INFO  /move_base: Got new plan
571.584 INFO  /move_base: Got new plan
572.584 INFO  /move_base: Got new plan
573.585 INFO  /move_base: Got new plan
574.584 INFO  /move_base: Got new plan
575.585 INFO  /move_base: Got new plan
576.584 INFO  /move_base: Got new plan
577.584 INFO  /move_base: Got new plan
578.584 INFO  /move_base: Got new plan
579.585 INFO  /move_base: Got new plan
580.584 INFO  /move_base: Got new plan
581.584 INFO  /move_base: Got new plan
582.584 INFO  /move_base: Got new plan
583.584 INFO  /move_base: Got new plan
584.585 INFO  /move_base: Got new plan
585.585 INFO  /move_base: Got new plan
586.584 INFO  /move_base: Got new plan
587.585 INFO  /move_base: Got new plan
588.584 INFO  /move_base: Got new plan
589.584 INFO  /move_base: Got new plan
590.584 INFO  /move_base: Got new plan
591.584 INFO  /move_base: Got new plan
592.586 INFO  /move_base: Got new plan
593.584 INFO  /move_base: Got new plan
594.584 INFO  /move_base: Got new plan
595.584 INFO  /move_base: Got new plan
596.584 INFO  /move_base: Got new plan
597.584 INFO  /move_base: Got new plan
598.584 INFO  /move_base: Got new plan
599.584 INFO  /move_base: Got new plan
600.584 INFO  /move_base: Got new plan
601.585 INFO  /move_base: Got new plan
602.584 INFO  /move_base: Got new plan
603.584 INFO  /move_base: Got new plan
604.584 INFO  /move_base: Got new plan
605.584 INFO  /move_base: Got new plan
606.586 INFO  /move_base: Got new plan
607.584 INFO  /move_base: Got new plan
608.585 INFO  /move_base: Got new plan
609.584 INFO  /move_base: Got new plan
610.585 INFO  /move_base: Got new plan
611.584 INFO  /move_base: Got new plan
612.584 INFO  /move_base: Got new plan
613.584 INFO  /move_base: Got new plan
614.584 INFO  /move_base: Got new plan
615.584 INFO  /move_base: Got new plan
616.584 INFO  /move_base: Got new plan
617.584 INFO  /move_base: Got new plan
618.585 INFO  /move_base: Got new plan
619.584 INFO  /move_base: Got new plan
620.585 INFO  /move_base: Got new plan
621.584 INFO  /move_base: Got new plan
622.584 INFO  /move_base: Got new plan
623.585 INFO  /move_base: Got new plan
624.585 INFO  /move_base: Got new plan
625.585 INFO  /move_base: Got new plan
626.584 INFO  /move_base: Got new plan
627.588 INFO  /move_base: Got new plan
628.584 INFO  /move_base: Got new plan
629.585 INFO  /move_base: Got new plan
630.584 INFO  /move_base: Got new plan
631.584 INFO  /move_base: Got new plan
632.585 INFO  /move_base: Got new plan
633.584 INFO  /move_base: Got new plan
634.585 INFO  /move_base: Got new plan
635.584 INFO  /move_base: Got new plan
636.584 INFO  /move_base: Got new plan
637.584 INFO  /move_base: Got new plan
638.585 INFO  /move_base: Got new plan
639.584 INFO  /move_base: Got new plan
640.584 INFO  /move_base: Got new plan
641.585 INFO  /move_base: Got new plan
642.588 INFO  /move_base: Got new plan
643.584 INFO  /move_base: Got new plan
644.584 INFO  /move_base: Got new plan
645.584 INFO  /move_base: Got new plan
646.584 INFO  /move_base: Got new plan
647.584 INFO  /move_base: Got new plan
648.584 INFO  /move_base: Got new plan
649.584 INFO  /move_base: Got new plan
650.585 INFO  /move_base: Got new plan
651.585 INFO  /move_base: Got new plan
652.584 INFO  /move_base: Got new plan
653.584 INFO  /move_base: Got new plan
654.585 INFO  /move_base: Got new plan
655.584 INFO  /move_base: Got new plan
656.584 INFO  /move_base: Got new plan
657.584 INFO  /move_base: Got new plan
658.584 INFO  /move_base: Got new plan
659.584 INFO  /move_base: Got new plan
660.584 INFO  /move_base: Got new plan
661.584 INFO  /move_base: Got new plan
662.584 INFO  /move_base: Got new plan
663.584 INFO  /move_base: Got new plan
664.584 INFO  /move_base: Got new plan
665.585 INFO  /move_base: Got new plan
666.585 INFO  /move_base: Got new plan
667.584 INFO  /move_base: Got new plan
668.585 INFO  /move_base: Got new plan
669.584 INFO  /move_base: Got new plan
670.584 INFO  /move_base: Got new plan
671.584 INFO  /move_base: Got new plan
672.584 INFO  /move_base: Got new plan
673.584 INFO  /move_base: Got new plan
674.584 INFO  /move_base: Got new plan
674.773 WARN  /move_base: Control loop missed its desired rate of 12.0000Hz... the loop actually took 0.1060 seconds
674.844 WARN  /move_base: Control loop missed its desired rate of 12.0000Hz... the loop actually took 0.0917 seconds
674.920 WARN  /move_base: Control loop missed its desired rate of 12.0000Hz... the loop actually took 0.0863 seconds
675.004 WARN  /move_base: Control loop missed its desired rate of 12.0000Hz... the loop actually took 0.0870 seconds
675.005 WARN  /move_base: Map update loop missed its desired rate of 8.0000Hz... the loop actually took 0.1540 seconds
675.584 INFO  /move_base: Got new plan
676.584 INFO  /move_base: Got new plan
